ID,AGE,Gender,NATIONALITY,RESIDENCE,TYPE_CLIENT,HasCrdCard,IsActiveMember,MARITAL_STATUS,ONLINE_ACTUAL_BAL,Account-AGE,Excited,ACCOUNT_OFFICER,Id
"9C359212BB6E489C,114,male,FR,TN,PP,0,0,others,""€ 4568,98"",43,0,60,91558B183046E5922189F9D4EDA4C703"
"A579FC6BE58874F1,114,male,IT,TN,PP,1,0,others,""€ 5,22"",43,1,60,9F45FC7187958E571AA4C24D5DE71D4F"
"AD64413C8DC4023C,114,female,FR,TN,PP,0,1,others,""€ 625,74"",33,0,60,925B0171578A708B90787E7517CA2C3A"
"B9786755DA2CC5C6,114,female,FR,TN,PP,0,1,others,""€ 1392,91"",43,0,20,F8297F021A527DB9CC500021DD237459"
"E2419252CBD36E74,114,male,TN,TN,PP,0,0,others,""€ 301,08"",42,0,21,3157FA9E6887D821B7B4E9282CE328E0"
"E8C800DFB0E79623,114,female,TN,TN,PP,1,0,others,""€ 329,24"",31,0,40,7416A5873DBCD7D142E296A9EB34BAF8"
"F3FCFE970EBD4DE4,114,female,TN,TN,PP,0,1,others,""€ 10,02"",43,1,20,95ECC3C648F75FAC5F9F994C1C722781"
"3E1763996F97BF8E,113,male,FR,FR,PP,0,0,others,""€ 97,95"",43,1,60,5A6A3C694F51DF953915206859D3A8F3"
"91D2682B2FCAE19E,113,female,TN,TN,PP,1,0,others,""€ 8,75"",36,1,66,9D94F10DC8EBC2ECF4B3245DA9C94DDA"
"AB400A283BAC54E2,113,female,TN,TN,PP,1,1,others,""€ 24,80"",38,0,23,A72D71F6F5750CD5B0FB2C78C41F3D58"
"B667241F56B9CB28,113,female,FR,TN,PP,0,1,others,""€ 121,60"",28,0,40,02D97D7BC0FFCC816CC8C24DC2826505"
"CF6699DDD02A1EB4,113,male,BE,BE,PP,0,0,others,""€ 11529,61"",22,1,61,35D9A6C120780EE1882DE8E75266C827"
"E39EE2E51EDBF5D8,113,female,TN,TN,PP,0,0,others,""€ 183,82"",43,1,20,2077E45F3EFEEFC84E319FAE29C1F7E7"
"E728ECC9374C90B2,113,male,FR,FR,PP,0,1,others,""€ 81,97"",43,1,60,2990001AFD0875AF5B3A0F36C9D57DF9"
"0F51D2A12989C4A7,112,male,IT,TN,PP,1,0,others,""€ 196,86"",34,1,74,8B878E4E79252456C4D9B92C0095EB3D"
"1536B28480AD2F25,112,female,TN,TN,PP,1,0,MARIE,""€ 37,34"",26,0,36,711D7F9EEC5A87C935269A1FBF8DAE55"
"167B2590281045E0,112,female,FR,TN,PP,1,0,others,""€ 26870,65"",31,1,20,6A878740025106C8435D6B43A30DCF7A"
"1DC0EEE9A2EFD012,112,male,FR,TN,PP,0,0,others,""€ 183,29"",43,1,20,59D8D9C0805ED794CB31F65418556714"
"4F88FA2DDBD1F611,112,male,TN,TN,PP,1,1,others,""€ 14,05"",24,1,47,FDD74DEB962BFBD9963A97E4ECE6EB3B"
"5C88E69A5D5C3F35,112,male,FR,FR,PP,0,1,others,""€ 40,95"",14,1,61,94F5177B11DF0B3F19AF299B2CF53894"
"67C4A48114DF726C,112,male,FR,TN,PP,1,1,others,""€ 37,11"",32,1,108,542D0188813213D80EC813213AA09558"
"6FD131D310700CB0,112,female,TN,TN,PP,0,1,others,""€ 1141,42"",41,0,1,2EA9DF7203ED35E9CD794D1427EA9C10"
"808EF7423E848B75,112,male,TN,TN,PP,1,1,MARIE,""€ 112,71"",30,1,40,093EE305655E0213E79D529E82DAB554"
"8D53075626D5A482,112,male,TN,TN,PP,0,0,others,""€ 1667,52"",27,1,24,B58E29BD42908D4CBEC29D49B05ECA3B"
"8FCC0AB3B40B2700,112,female,TN,TN,PP,1,1,others,""€ 521,31"",31,0,45,E0A21D28AF325EF04EBC2F4473C28366"
"9089ECF23AA84D4E,112,male,US,TN,PP,1,0,others,""€ 360,12"",35,1,61,895695AE863C25E4364FDA06F790ACC5"
"91C05BD646C6D2C0,112,female,TN,TN,PP,1,1,others,""€ 3796,83"",25,1,29,31A75D94D7DEFD1F44D8BB5051FEF398"
